offer_id,product,category,ingredient,count,type
48802630271306,Pure Bliss - Standard,1,Rose,5,stems count
48802630271306,Pure Bliss - Standard,1,Snapdragons,5,stems count
48802630271306,Pure Bliss - Standard,1,Delphinium,5,stems count
48802630271306,Pure Bliss - Standard,1,Stock,5,stems count
48802630304074,Pure Bliss - Deluxe,1,Rose,7,stems count
48802630304074,Pure Bliss - Deluxe,1,Snapdragons,7,stems count
48802630304074,Pure Bliss - Deluxe,1,Delphinium,7,stems count
48802630304074,Pure Bliss - Deluxe,1,Stock,7,stems count
48802989408586,Duke of Edinburgh - Standard,1,Hydrangea,1,stems count
48802989408586,Duke of Edinburgh - Standard,1,Rose,10,stems count
48802989408586,Duke of Edinburgh - Standard,1,Lisianthus,5,stems count
48802989408586,Duke of Edinburgh - Standard,1,Eucalyptus,3,stems count
48802989441354,Duke of Edinburgh - Deluxe,1,Hydrangea,1,stems count
48802989441354,Duke of Edinburgh - Deluxe,1,Rose,20,stems count
48802989441354,Duke of Edinburgh - Deluxe,1,Lisianthus,7,stems count
48802989441354,Duke of Edinburgh - Deluxe,1,Eucalyptus,5,stems count
48807969030474,Cote d'Azur - Standard,1,Hydrangea,5,stems count
48807969063242,Cote d'Azur - Deluxe,1,Hydrangea,7,stems count
48808001143114,51 Long Stem Red Roses,2,Rose,51,stems count
48808044888394,Mamma Mia - Standard,2,Rose,12,stems count
48808044888394,Mamma Mia - Standard,2,Hydrangea,3,stems count
48808044888394,Mamma Mia - Standard,2,Trachelium,12,stems count
48808044888394,Mamma Mia - Standard,2,Bouvardia,8,stems count
48808044921162,Mamma Mia - Deluxe,2,Rose,20,stems count
48808044921162,Mamma Mia - Deluxe,2,Hydrangea,5,stems count
48808044921162,Mamma Mia - Deluxe,2,Trachelium,12,stems count
48808044921162,Mamma Mia - Deluxe,2,Bouvardia,8,stems count
48808062681418,Lavender Blue Hydrangea,3,Hydrangea,40,stems count
48808077295946,Lady Whistledown - Standard,1,Rose,6,stems count
48808077295946,Lady Whistledown - Standard,1,Hypericum,5,stems count
48808077328714,Lady Whistledown - Deluxe,1,Rose,9,stems count
48808077328714,Lady Whistledown - Deluxe,1,Hypericum,8,stems count
48809581871434,MUM Red Rose Funeral Letters,4,Rose,40,stems count
48809582035274,Anthurium Mix Wreath - 12 Inch,4,Hydrangea,5,stems count
48809582035274,Anthurium Mix Wreath - 12 Inch,4,Foliage,8,stems count
48809582035274,Anthurium Mix Wreath - 12 Inch,4,Anthurium,9,stems count
48809582068042,Anthurium Mix Wreath - 14 Inch,4,Hydrangea,5,stems count
48809582068042,Anthurium Mix Wreath - 14 Inch,4,Foliage,8,stems count
48809582068042,Anthurium Mix Wreath - 14 Inch,4,Anthurium,9,stems count
48809582100810,Anthurium Mix Wreath - 16 Inch,4,Hydrangea,5,stems count
48809582100810,Anthurium Mix Wreath - 16 Inch,4,Foliage,8,stems count
48809582100810,Anthurium Mix Wreath - 16 Inch,4,Anthurium,9,stems count
48809582133578,Vibrant Funeral Flowers Mix - 12 Inch,4,Gerbera,8,stems count
48809582133578,Vibrant Funeral Flowers Mix - 12 Inch,4,Rose,15,stems count
48809582133578,Vibrant Funeral Flowers Mix - 12 Inch,4,Hydrangea,6,stems count
